A,B,C,D,E,F,G,H,I
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,4,5,5,5,5,4,5,5
5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,5,5,5,5,5,4,5,5
5,4,5,5,5,5,5,5,4
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,5,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,4
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4
5,5,5,5,5,5,4,5,5
5,4,5,5,5,5,5,5,4
5,4,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,4
5,4,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,4
